incidentid,age,gender,race,schoolaffiliation,shooteroutcome,shooterdied,injury,chargesfiled,verdict,minorchargedadult,criminalhistory
19700105DCHIW,15,Male,,Student,Unknown,No,None,,,,
19700105DCSOW,,Male,,Student,Surrendered,No,None,,,,
19700105DCUNW,,Male,,Student,Fled/Escaped,No,None,,,,
19700206OHJOC,18,Male,Hispanic,Student,Unknown,No,None,,1-5 years,N/A,
19700323CADAL,16,Male,Hispanic,Student,Surrendered,No,None,Assault with intent to commit murder,,N/A,
19700323CADAL,44,Male,Hispanic,Police Officer/SRO,Surrendered,No,None,Assault with intent to commit murder,,N/A,
19700415ARPIP,18,Male,,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700415ARPIP,Teen,Male,,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700415ARPIP,Adult,Male,,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700415ARPIP,Adult,Male,,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700415ARPIP,Adult,Male,,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700415ARPIP,Adult,Male,,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700415ARPIP,Adult,Male,,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700415ARPIP,Adult,Male,,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700422DEPIW,16,Male,Hispanic,Student,Fled/Apprehended,No,None,,,,
19700508FLCAD,18,Male,Hispanic,Student,Fled/Apprehended,No,None,,,N/A,
19700515UTBEO,15,Male,White,Student,Unknown,No,None,,sentenced to youth facility until turning 21.,No,
19700828TXRIE,15,Male,,Student,Fled/Apprehended,No,None,,,,
19700828TXRIE,16,Male,,Student,Fled/Apprehended,No,None,,,,
19700831FLALM,27,Male,Black,No Relation,Apprehended/Killed by LE,No,None,First degree murder,,,
19700914TNHAN,18,Male,Black,Student,Fled/Apprehended,No,None,,,,
19700924IDMEM,,,,Unknown,Unknown,No,None,,,,
19700928IACED,17,Male,,Student,Fled/Apprehended,No,None,,,,
19701005MIPOD,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19701019TNBOM,17,Male,,Student,Fled/Apprehended,No,None,,,,
19701020TNWAN,13,Male,,Student,Unknown,No,None,,,,
19701027OHAPM,13,Male,,Student,Fled/Apprehended,No,None,,,,
19701120ILHAC,15,Male,,Student,Fled/Apprehended,No,None,Aggravated battery,,,
19701212WIXAA,Adult,,,Police Officer/SRO,Law Enforcement,No,None,N/A,N/A,N/A,
19710202PAMOP,14,Male,Black,Student,Fled/Apprehended,No,None,Murder,,Yes,
