incidentid,weaponcaliber,weapondetails,weapontype
19700105DCHIW,Unknown,,Handgun
19700105DCSOW,.22 caliber,,Handgun
19700105DCUNW,Unknown,,Handgun
19700206OHJOC,Unknown,,Handgun
19700323CADAL,Unknown,,Handgun
19700415ARPIP,Unknown,,Multiple Handguns
19700422DEPIW,.38 caliber,,Handgun
19700508FLCAD,.22 caliber,,Handgun
19700515UTBEO,9mm,,Handgun
19700828TXRIE,Unknown,,Handgun
19700831FLALM,Unknown,,Rifle
19700914TNHAN,Unknown,,Rifle
19700924IDMEM,.22 caliber,,Handgun
19700928IACED,,,No Data
19701005MIPOD,Unknown,,Handgun
19701019TNBOM,Unknown,,Handgun
19701020TNWAN,Unknown,,Handgun
19701027OHAPM,.38 caliber,,Handgun
19701120ILHAC,Unknown,,Handgun
19701212WIXAA,Service Weapon,,Handgun
19710202PAMOP,.45 caliber,,Handgun
19710205PAJOW,Unknown,,Handgun
19710210TXOAD,12 gauge,,Shotgun
19710225OHFRC,.22 caliber,,Rifle
19710309AZROT,.22 caliber,,Handgun
19710405PAWIH,Unknown,,Handgun
19710527MIBES,Unknown,,Handgun
19710602NYEAE,.22 caliber,,Handgun
19710820PAMOM,Unknown,,Handgun
19710909TXDUL,.22 caliber,,Handgun
19710924NYMCB,Unknown,,Handgun
19710928MNCEM,,,No Data
19710929VAPEP,Unknown,,Handgun
19711028MDCIB,Unknown,,Handgun
19711029MDFOB,.22 caliber,,Rifle
19711029MDFRB,Unknown,,Handgun
19711103NMCAC,Automatic,,Rifle
19711108OKGRT,.22 caliber,,Handgun
19711124MDEDB,Unknown,,Handgun
19711206CALOL,.22 caliber,,Handgun
19711213MDCAB,.22 caliber,,Handgun
19720105DCPAW,.22 caliber,,Handgun
19720124OHSTS,.22 caliber,,Handgun
19720126MDGWB,Unknown,,Handgun
19720126MDHAB,.22 caliber,,Rifle
19720214ILCAC,Unknown,,Handgun
19720215ILKEC,Service Weapon,,Handgun
19720228CAMAL,.22 caliber,,Handgun
19720313TXUNH,Unknown,,Handgun
19720412LAEAG,,,No Data
19720504NVLIR,.22 caliber,,Handgun
19720505INDEI,.32 caliber,,Handgun
19720914TXFRH,.25 caliber,,Handgun
19720915MISAS,,,No Data
19720919TXCUH,.22 caliber,,Handgun
19720921OHTHA,Unknown,,Handgun
19721111CAJEL,,,No Data
19721127MIPOP,,,No Data
19721129FLMIM,,,No Data
19730105NCSOS,Unknown,,Handgun
19730118CAJOL,Unknown,,Handgun
19730131NCCUB,Unknown,,Handgun
19730212ALBOM,Unknown,,Handgun
19730226VAARR,.38 caliber,,Handgun
19730405CALOL,Unknown,,Handgun
19730501OHRAY,Unknown,,Handgun
19730928CAWIL,Unknown,,Handgun
19731002ILELA,.38 caliber,,Handgun
19731019MOBES,,,No Data
19731023MOSUS,Unknown,,Multiple Unknown
19731023OHBAB,.22 caliber,,Handgun
19731024MNCEM,Unknown,,Shotgun
19731031MONOS,Unknown,,Shotgun
19731108ILWOC,.38 caliber,,Handgun
19731109CALOL,,,No Data
19731206CAFRL,Unknown,,Handgun
19731213OHHUC,.22 caliber,,Handgun
19740117ILBAC,.38 caliber,.38-caliber snub-nose revolver and .45-caliber pistol,Handgun
19740117ILBAC,.45 caliber,.38-caliber snub-nose revolver and .45-caliber pistol,Handgun
19740122CALOL,,,No Data
19740207CAJAO,Unknown,,Handgun
19740322INBRB,.22 caliber,,Rifle
19740402CTSTB,Unknown,,Other
19740510TNCHR,Unknown,,Handgun
19740519FLHIO,Unknown,,Rifle
19740923CAJED,Unknown,,Handgun
19740925CASAL,Unknown,,Handgun
19741007LADEH,.45 caliber,,Handgun
19741021MDDOB,Unknown,,Handgun
19741118SCCAC,,,No Data
19741121ARBOL,.38 caliber,,Handgun
19741125SCCAC,Unknown,,Handgun
19741218CAMAL,Unknown,,Handgun
19741230NYOLO,Unknown,,Multiple Unknown
19750207NYBOM,.38 caliber,,Handgun
19750224NJSTP,Unknown,,Handgun
19750312TXJOH,Unknown,,Handgun
19750318MOSUS,Unknown,,Unknown
19750321OHPAD,.22 caliber,,Handgun
19750321VAFAR,.22 caliber,,Rifle
19750515MOROS,.32 caliber,,Handgun
19750527MIPID,Unknown,,Rifle
19750709ILDEC,,,No Data
19750711MOCES,Unknown,,Handgun
19750911OKGRO,Unknown,,Unknown
19751001NMHEA,.38 caliber,,Handgun
19751024GAMUA,.38 caliber,,Handgun
19751218CAORS,.22 caliber,,Rifle
19760101AZCAP,.22 caliber,,Rifle
19760123OHCOC,.25 caliber,,Handgun
19760206FLESP,,,No Data
19760212MIMUD,Unknown,,Handgun
19760412TXODF,Unknown,,Handgun
19760513MOMAS,Unknown,,Handgun
19760514FLPAW,.38 caliber,,Handgun
19760602MDMTC,,,No Data
19760920NCGUG,Unknown,,Shotgun
19761110MIBUD,Unknown,,Handgun
19761210MOFRS,.38 caliber,,Handgun
19770113ILOLB,Unknown,,Handgun
19770209ILFEC,Unknown,,Handgun
19770228MOROS,,,No Data
19770228TXHOA,Unknown,,Handgun
19770308ILCOE,.25 caliber,,Handgun
19770321NYPAH,.22 caliber,,Rifle
19770407TXWHW,.38 caliber,,Handgun
19770418TNPIN,Unknown,,Handgun
19770517FLSTC,.22 caliber,,Rifle
19770622ILHOC,,,No Data
19770711COSOC,.32 caliber,,Handgun
19771129MOHAS,.22 caliber,,Rifle
19771129MOVAS,,,No Data
19771209CAPES,.22 caliber,,Handgun
19771212FLWEW,Unknown,,Handgun
19771215MABLC,,,No Data
19780111KYCHH,.32 caliber,,Handgun
19780209WVHAS,.22 caliber,,Handgun
19780222MIEVL,.22 caliber,,Handgun
19780309CAMOS,.22 caliber,,Rifle
19780329TNGAN,Unknown,,Handgun
19780414MIFOD,Unknown,,Handgun
19780426TXPAD,.38 caliber,,Handgun
19780428ILRIN,Unknown,,Handgun
19780518TXMUA,.22 caliber,,Rifle
19780519PADOP,Unknown,,Multiple Rifles
19780607DEDOD,Unknown,,Handgun
19780610MAWEW,.22 caliber,,Handgun
19781017ALLAL,.22 caliber,,Handgun
19781017MOUNU,Unknown,,Handgun
19781129NYPAN,.22 caliber,,Handgun
19781214CTWIN,Unknown,,Handgun
19790129CAGRS,.22 caliber,,Rifle
19790314FLMCM,Unknown,,Handgun
19790328CALOL,Unknown,,Handgun
19790416WIWIM,Unknown,,Shotgun
19790425PAMAH,Unknown,,Rifle
19790426TXAZA,.22 caliber,,Handgun
19790614OHNEN,.22 caliber,,Handgun
19790926LACAN,.38 caliber,,Handgun
19790928MACHC,Unknown,,Rifle
19791023MOOFS,Unknown,,Handgun
19791105INWAI,Unknown,,Handgun
19791130TXUNL,.22 caliber,,Handgun
19791203MDEAB,.25 caliber,,Handgun
19791221MOBLS,Unknown,,Handgun
19800107ARSTS,.22 caliber,,Handgun
19800129VALAW,.45 caliber,,Handgun
19800201DCLAW,.22 caliber,,Handgun
19800207TXVAL,.25 caliber,,Handgun
19800211INARI,.22 caliber,,Handgun
19800215MSHUM,.32 caliber,,Handgun
19800320TXJLD,.38 caliber,,Handgun
19800331MDFRB,.32 caliber,,Handgun
19800417VACAC,Unknown,,Handgun
19800530NYCLB,.38 caliber,,Handgun
19800902CAWHL,12 gauge,,Shotgun
19800908FLFOJ,Unknown,,Handgun
19800910DCSPW,.25 caliber,,Handgun
19800911ALJOM,Unknown,,Handgun
19800926CTBRB,.22 caliber,,Rifle
19801013ALCET,Unknown,,Handgun
19801031ALHUH,.22 caliber,,Handgun
19801117TXEAF,.22 caliber,,Handgun
19801212ALPAB,Unknown,,Handgun
19801212OHLOL,.22 caliber,,Handgun
19810121OHWIB,.38 caliber,,Handgun
19810122MDFRB,Unknown,,Handgun
19810210ARLIL,Unknown,,Handgun
19810210CAMAL,Unknown,,Shotgun
19810303INMAI,Unknown,,Handgun
19810328FLDIF,Unknown,,Handgun
19810402OHALC,.22 caliber,,Handgun
19810407MSPOP,,,No Data
19810515LANEN,.22 caliber,,Handgun
19810901PAWIP,.25 caliber,,Handgun
19810904NMHOS,.22 caliber,,Handgun
19810908FLSTW,.22 caliber,,Handgun
19810913MDABA,Service Weapon,,Handgun
19811013CTHAH,Unknown,,Handgun
19811209NYGEB,Unknown,,Handgun
19811216TXUNH,.22 caliber,,Handgun
19811223NYJAB,Unknown,,Handgun
19820205TNHAM,Unknown,,Handgun
19820208MADOD,.38 caliber,,Handgun
19820209LAJON,,,No Data
19820315ORSPS,.38 caliber,,Handgun
19820317OHLOL,.25 caliber,,Handgun
19820319NVVAL,.22 caliber,,Handgun
19820407CODEL,.38 caliber,,Handgun
19820415MDFOB,.32 caliber,,Handgun
19820429GARUE,Unknown,,Rifle
19820430FLANA,.22 caliber,,Handgun
19820527NVGAL,Pellet,,Other
19820910VALAB,,,No Data
19820915ARSOP,.22 caliber,,Handgun
19821101NYELE,Unknown,,Handgun
19821108MICOD,.22 caliber,,Handgun
19821112MSWIJ,Unknown,,Shotgun
19821206ALHUH,Unknown,,Handgun
19821220MIFID,Unknown,,Handgun
19830118TXJOH,.22 caliber,,Handgun
19830120MOPAB,.22 caliber,Two .22 automatic,Handgun
19830120MOPAB,.22 caliber,Two .22 automatic,Handgun
19830128MDWIB,.25 caliber,,Handgun
19830130TXWEC,Unknown,,Handgun
19830131FLDED,.22 caliber,,Handgun
19830201TNRIM,.25 caliber,,Handgun
19830202NMALA,,,No Data
19830331ILSAC,.38 caliber,,Handgun
19830421MOBES,,,No Data
19830516NYBRN,.22 caliber,,Rifle
19830516TXLAD,.357 caliber,,Handgun
19830518FLNOM,Unknown,,Handgun
19830523OHMAM,Unknown,,Handgun
19830526PAGRJ,.22 caliber,,Handgun
19830912CAMAC,Unknown,,Multiple Handguns
19830912MIHED,Unknown,,Handgun
19830921MDWAB,.22 caliber,,Handgun
19830930TXTET,,,No Data
19831007CACOL,Unknown,,Handgun
19831022MDCAB,Starter,,Other
19831108MIHIH,.38 caliber,,Handgun
19831117ILJAC,Unknown,,Handgun
19831118MDHAB,Unknown,,Handgun
19831202INCRC,.44 caliber,,Handgun
19831216ILBOR,.357 caliber,,Handgun
19840105MDLAB,Unknown,,Handgun
19840206KYCEL,Unknown,,Handgun
19840221TXSHH,.38 caliber,,Handgun
19840224CA49L,AR-15,AR15 and 2 shotguns,Rifle
19840224CA49L,Unknown,AR15 and 2 shotguns,Shotgun
19840224CA49L,Unknown,AR15 and 2 shotguns,Shotgun
19840405LACLC,Unknown,,Handgun
19840420MIPRD,Unknown,,Handgun
19840426NCROW,Unknown,,Handgun
19840515MTCMG,.22 caliber,,Rifle
19840517IASOP,.38 caliber,,Handgun
19840517TXBOH,.25 caliber,,Handgun
19840518CANON,Unknown,,Shotgun
19840522OHCLC,.25 caliber,,Handgun
19840710MIMUD,,,No Data
19840831LABOS,Unknown,,Handgun
19840928TXMIH,Unknown,,Rifle
19840928TXRIN,Unknown,,Multiple Unknown
19841021PAWYE,Pellet,,Other
19841022MICED,Unknown,,Handgun
19841024MISOD,.38 caliber,,Handgun
19841024OHWEC,Unknown,,Handgun
19841030SCPEP,.32 caliber,,Handgun
19841031LAEAG,.22 caliber,,Handgun
19841109CTWIN,9mm,,Handgun
19841126MDMIR,.22 caliber,,Handgun
19841207MOEDS,Unknown,,Multiple Unknown
19850118TXARA,410 gauge,,Shotgun
19850121KSGOG,.357 caliber,M1A .308 and .357 Magnum,Handgun
19850121KSGOG,.308 caliber,M1A .308 and .357 Magnum,Rifle
19850126MASTB,Unknown,,Handgun
19850205CTAIH,Unknown,,Handgun
19850416TXMAA,Service Weapon,,Handgun
19850516FLPAB,Unknown,,Handgun
19850724TXHIH,Unknown,,Handgun
19850904VAEAR,.38 caliber,,Handgun
19850909TXWHH,Unknown,,Handgun
19850920TXLAC,.357 caliber,,Handgun
19850925OHTRT,Unknown,,Handgun
19851008MDLAB,Unknown,,Handgun
19851018MIMUD,Unknown,,Shotgun
19851022OHSOG,Service Weapon,,Handgun
19851126WASPS,.22 caliber,,Rifle
19851127ALCHB,.22 caliber,,Handgun
19851203NHCOC,20 gauge,,Shotgun
19851209PAARP,Unknown,,Other
19851210CTPOP,9mm,,Handgun
19860109NCNOD,.22 caliber,,Handgun
