incidentid,race,injury,gender,schoolaffiliation,age
19700105DCHIW,,Fatal,Male,Student,15
19700105DCSOW,,Wounded,Male,Student,Teen
19700105DCUNW,,None,Male,Unknown,16
19700206OHJOC,,Wounded,Male,Student,18
19700323CADAL,,Wounded,Male,Security Guard,44
19700323CADAL,,Wounded,Male,Student,16
19700415ARPIP,Black,Fatal,Male,Student,20
19700415ARPIP,Black,Wounded,Unknown,Student,Teen
19700415ARPIP,Black,Wounded,Unknown,Student,Teen
19700415ARPIP,Black,Wounded,Unknown,Student,Teen
19700415ARPIP,Black,Wounded,Unknown,Student,Teen
19700415ARPIP,Black,Wounded,Unknown,Student,Teen
19700422DEPIW,Black,Fatal,Male,Student,18
19700508FLCAD,,Wounded,Male,Student,19
19700515UTBEO,,Wounded,Female,Teacher,Adult
19700515UTBEO,,Wounded,Male,Student,15
19700828TXRIE,Hispanic,Wounded,Male,Student,15
19700831FLALM,Hispanic,Fatal,Male,Parent,Adult
19700914TNHAN,Black,Wounded,Male,Student,16
19700914TNHAN,Black,Wounded,Male,Student,16
19700914TNHAN,Black,Fatal,Male,Student,20
19700924IDMEM,,Fatal,Male,Student,16
19700928IACED,,Wounded,Female,Student,Teen
19701005MIPOD,,Wounded,Male,Student,Teen
19701005MIPOD,,Wounded,Male,Student,Teen
19701005MIPOD,,Wounded,Male,Student,Teen
19701005MIPOD,,Wounded,Male,Student,Teen
19701019TNBOM,,Fatal,Male,Student,Teen
19701020TNWAN,,Wounded,Male,Student,15
19701027OHAPM,,Wounded,Male,Student,15
19701120ILHAC,,Wounded,Female,Student,14
19701120ILHAC,,Wounded,Male,Student,15
19701212WIXAA,,Fatal,Male,No Relation,42
19710202PAMOP,White,Fatal,Male,Teacher,56
19710205PAJOW,,Wounded,Male,Student,13
19710210TXOAD,,Wounded,,Student,Teen
19710210TXOAD,,Wounded,,Student,Teen
19710225OHFRC,,Fatal,Male,Student,15
19710309AZROT,,Wounded,Female,Student,14
19710405PAWIH,,Minor Injuries,Female,Student,18
19710527MIBES,,Wounded,Male,Student,16
19710602NYEAE,,None,Male,Student,13
19710820PAMOM,Black,Wounded,Male,Student,18
19710909TXDUL,Black,Fatal,Male,Student,16
19710924NYMCB,,Fatal,Male,Student,23
19710928MNCEM,,None,,Student,Teen
19710929VAPEP,Black,Wounded,Female,Student,17
19710929VAPEP,White,Fatal,Male,Student,14
19710929VAPEP,Black,Wounded,Male,Student,14
19711028MDCIB,,Wounded,Male,Student,17
19711029MDFOB,,Wounded,Male,Student,Teen
19711029MDFRB,,Wounded,Male,Student,Teen
19711029MDFRB,,Wounded,Male,Student,Teen
19711103NMCAC,,Wounded,Male,Police Officer/SRO,Adult
19711108OKGRT,,Fatal,Male,Principal/Vice-Principal,49
19711124MDEDB,,Fatal,Male,Student,17
19711206CALOL,,Wounded,Male,Student,14
19711206CALOL,,Wounded,Male,Student,14
19711206CALOL,,Wounded,Female,Student,13
19711206CALOL,,Wounded,Female,Student,13
19711213MDCAB,,Wounded,Male,Student,16
19720105DCPAW,,Fatal,Female,Teacher,57
19720124OHSTS,White,Wounded,Male,Teacher,49
19720126MDGWB,,Wounded,Male,Student,14
19720126MDHAB,,Wounded,Male,Student,16
19720214ILCAC,,Fatal,Male,Student,18
19720215ILKEC,,None,Male,No Relation,21
19720228CAMAL,,Wounded,Male,Student,14
19720313TXUNH,,Wounded,Male,Student,15
19720412LAEAG,,Wounded,Female,Teacher,27
19720504NVLIR,,Fatal,Male,Principal/Vice-Principal,33
19720505INDEI,,Fatal,Male,Student,16
19720914TXFRH,,Wounded,Male,Teacher,25
19720915MISAS,,Wounded,Male,Student,Teen
19720915MISAS,,Wounded,Male,Student,Teen
19720919TXCUH,,Wounded,Female,Teacher,28
19720921OHTHA,White,Wounded,Female,Teacher,27
